id	date	fajr	maghrib	region_id
138	2021-04-14	4:38:00	19:12:00	5
139	2021-04-15	4:36:00	19:13:00	5
140	2021-04-16	4:34:00	19:14:00	5
141	2021-04-17	4:32:00	19:15:00	5
142	2021-04-18	4:30:00	19:16:00	5
143	2021-04-19	4:28:00	19:17:00	5
144	2021-04-20	4:28:00	19:18:00	5
145	2021-04-21	4:26:00	19:19:00	5
146	2021-04-22	4:24:00	19:21:00	5
147	2021-04-23	4:22:00	19:22:00	5
148	2021-04-24	4:20:00	19:23:00	5
149	2021-04-25	4:19:00	19:24:00	5
150	2021-04-26	4:17:00	19:25:00	5
151	2021-04-27	4:15:00	19:26:00	5
152	2021-04-28	4:13:00	19:27:00	5
153	2021-04-29	4:12:00	19:28:00	5
154	2021-04-30	4:11:00	19:28:00	5
155	2021-05-01	4:09:00	19:29:00	5
156	2021-05-02	4:07:00	19:30:00	5
157	2021-05-03	4:06:00	19:31:00	5
158	2021-05-04	4:04:00	19:32:00	5
159	2021-05-05	4:02:00	19:33:00	5
160	2021-05-06	4:01:00	19:34:00	5
161	2021-05-07	3:59:00	19:35:00	5
162	2021-05-08	3:58:00	19:36:00	5
163	2021-05-09	3:56:00	19:38:00	5
164	2021-05-10	3:55:00	19:38:00	5
165	2021-05-11	3:53:00	19:39:00	5
166	2021-05-12	3:52:00	19:40:00	5
167	2021-04-13	4:17:00	18:53:00	6
168	2021-04-14	4:16:00	18:54:00	6
169	2021-04-15	4:14:00	18:55:00	6
170	2021-04-16	4:12:00	18:56:00	6
171	2021-04-17	4:10:00	18:57:00	6
172	2021-04-18	4:08:00	18:58:00	6
173	2021-04-19	4:06:00	18:59:00	6
174	2021-04-20	4:05:00	19:00:00	6
175	2021-04-21	4:03:00	19:01:00	6
176	2021-04-22	4:01:00	19:03:00	6
177	2021-04-23	3:59:00	19:04:00	6
178	2021-04-24	3:57:00	19:05:00	6
179	2021-04-25	3:56:00	19:06:00	6
180	2021-04-26	3:54:00	19:07:00	6
181	2021-04-27	3:52:00	19:08:00	6
182	2021-04-28	3:50:00	19:09:00	6
183	2021-04-29	3:49:00	19:10:00	6
184	2021-04-30	3:47:00	19:11:00	6
185	2021-05-01	3:45:00	19:12:00	6
186	2021-05-02	3:43:00	19:13:00	6
187	2021-05-03	3:42:00	19:14:00	6
188	2021-05-04	3:40:00	19:15:00	6
189	2021-05-05	3:38:00	19:16:00	6
190	2021-05-06	3:37:00	19:17:00	6
191	2021-05-07	3:35:00	19:18:00	6
192	2021-05-08	3:34:00	19:19:00	6
193	2021-05-09	3:32:00	19:21:00	6
194	2021-05-10	3:31:00	19:22:00	6
195	2021-05-11	3:29:00	19:23:00	6
196	2021-05-12	3:28:00	19:24:00	6
197	2021-04-13	4:44:00	19:18:00	7
198	2021-04-14	4:43:00	19:19:00	7
199	2021-04-15	4:41:00	19:20:00	7
200	2021-04-16	4:39:00	19:21:00	7
201	2021-04-17	4:37:00	19:22:00	7
202	2021-04-18	4:35:00	19:23:00	7
203	2021-04-19	4:33:00	19:24:00	7
204	2021-04-20	4:33:00	19:25:00	7
205	2021-04-21	4:31:00	19:26:00	7
206	2021-04-22	4:29:00	19:28:00	7
207	2021-04-23	4:27:00	19:29:00	7
208	2021-04-24	4:25:00	19:30:00	7
209	2021-04-25	4:24:00	19:31:00	7
210	2021-04-26	4:22:00	19:32:00	7
211	2021-04-27	4:20:00	19:33:00	7
212	2021-04-28	4:18:00	19:34:00	7
213	2021-04-29	4:17:00	19:35:00	7
214	2021-04-30	4:15:00	19:36:00	7
215	2021-05-01	4:13:00	19:37:00	7
216	2021-05-02	4:11:00	19:38:00	7
217	2021-05-03	4:10:00	19:39:00	7
218	2021-05-04	4:08:00	19:40:00	7
219	2021-05-05	4:06:00	19:41:00	7
220	2021-05-06	4:05:00	19:42:00	7
